* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LPE851           MULT                          .8500003         7.3370920       240.3393298        -8.6499319      -278.1153311          .2313642          .2494384          .0000000         -.0010179 1.097017375142E-4          .2313642          .2494384
  QC1LE855            MULT                          .8500003         7.3370920       240.3393300        -8.6574004      -277.8706868          .2313642          .2494384 -4.66907793161E-5 3.14772896905E-10 4.17803746138E-10          .2313642          .2494384
  QC1LPE859           MULT                          .8600003         7.5112742       245.9288470        -8.7607521      -281.0777253          .2315786          .2494450          .0000000         -.0010179 1.097017375142E-4          .2315786          .2494450
  QC1LPE861           MULT                          .8600003         7.5112742       245.9288472        -8.7683980      -280.8273918          .2315786          .2494450          .0000000 -9.73171380435E-4 -5.40494870453E-5          .2315786          .2494450
  QC1LE865            MULT                          .8600003         7.5112742       245.9288473        -8.7757076      -280.5880661          .2315786          .2494450 -4.54249390316E-5 3.36600224652E-10 4.96949176235E-10          .2315786          .2494450
  QC1LPE869           MULT                          .8700003         7.6878260       251.5725964        -8.8794030      -283.7837352          .2317880          .2494514          .0000000 -9.73171380435E-4 -5.40494870453E-5          .2317880          .2494514
  QC1LPE871           MULT                          .8700003         7.6878260       251.5725966        -8.8868844      -283.5389173          .2317880          .2494514          .0000000 -9.30279450289E-4 1.195618697320E-4          .2317880          .2494514
  QC1LE875            MULT                          .8700003         7.6878260       251.5725969        -8.8940372      -283.3048555          .2317880          .2494514 -4.41196277376E-5 3.58992930312E-10 6.11563944260E-10          .2317880          .2494514
  QC1LPE879           MULT                          .8800003         7.8667479       257.2705687        -8.9980667      -286.4895813          .2319927          .2494576          .0000000 -9.30279450289E-4 1.195618697320E-4          .2319927          .2494576
  QC1LPE881           MULT                          .8800003         7.8667479       257.2705691        -9.0053859      -286.2502204          .2319927          .2494576          .0000000 -8.89428384013E-4 3.331854402325E-4          .2319927          .2494576
  QC1LE885            MULT                          .8800003         7.8667479       257.2705697        -9.0123854      -286.0213136          .2319927          .2494576 -4.28057393869E-5 3.81426001602E-10 7.28122246581E-10          .2319927          .2494576
  QC1LPE889           MULT                          .8900003         8.0480401       263.0227596        -9.1167402      -289.1955213          .2321927          .2494638          .0000000 -8.89428384013E-4 3.331854402325E-4          .2321927          .2494638
  QC1LPE891           MULT                          .8900003         8.0480401       263.0227604        -9.1239009      -288.9615026          .2321927          .2494638          .0000000 -8.50641498631E-4 1.102080346254E-4          .2321927          .2494638
  QC1LE895            MULT                          .8900003         8.0480401       263.0227613        -9.1307513      -288.7376271          .2321927          .2494638 -4.15022410457E-5 4.03147813204E-10 8.60219267325E-10          .2321927          .2494638
  QC1LPE899           MULT                          .9000004         8.2317029       268.8291691        -9.2354231      -291.9017286          .2323882          .2494697          .0000000 -8.50641498631E-4 1.102080346254E-4          .2323882          .2494697
  QC1LPE901           MULT                          .9000004         8.2317030       268.8291702        -9.2424295      -291.6729200          .2323882          .2494697          .0000000 -8.13868262085E-4 1.685258370015E-4          .2323882          .2494697
  QC1LE905            MULT                          .9000004         8.2317030       268.8291714        -9.2491342      -291.4539672          .2323882          .2494697 -4.03618088642E-5 4.22394886733E-10 3.716453385393E-8          .2323882          .2494697
  QC1LPE909           MULT                          .9100004         8.4177367       274.6898018        -9.3541145      -294.6083503          .2325794          .2494756          .0000000 -8.13868262085E-4 1.685258370015E-4          .2325794          .2494756
  QC1LPE911           MULT                          .9100004         8.4177367       274.6898032        -9.3609704      -294.3846354          .2325794          .2494756          .0000000 -7.79022885641E-4 2.395961313711E-4          .2325794          .2494756
  QC1LE915            MULT                          .9100004         8.4177368       274.6898043        -9.3675325      -294.1705050          .2325794          .2494756 -3.91248176097E-5 4.36568516998E-10 3.741190207582E-8          .2325794          .2494756
  QC1LPE919           MULT                          .9200004         8.6061416       280.6046666        -9.4728126      -297.3155273          .2327664          .2494813          .0000000 -7.79022885641E-4 2.395961313711E-4          .2327664          .2494813
  QC1LPE921           MULT                          .9200004         8.6061416       280.6046679        -9.4795213      -297.0967966          .2327664          .2494813          .0000000 -7.46003825653E-4 -1.26490152910E-4          .2327664          .2494813
  QC1LE925            MULT                          .9200004         8.6061416       280.6046686        -9.4859444      -296.8873733          .2327664          .2494813 -3.79123417921E-5 4.42150413177E-10 3.776465992523E-8          .2327664          .2494813
  QC1LPE929           MULT                          .9300004         8.7969177       286.5737742        -9.5915153      -300.0233627          .2329494          .2494870          .0000000 -7.46003825653E-4 -1.26490152910E-4          .2329494          .2494870
  QC1LPE931           MULT                          .9300004         8.7969177       286.5737751        -9.5980807      -299.8094906          .2329494          .2494870          .0000000 -7.14703250327E-4 -1.53355513485E-4          .2329494          .2494870
