@ Q1         %le              45.5460667
@ Q2         %le              43.6041000
@ OpticsFile %s      optics$file
@ SEQUENCE   %s        SuperKEKB
* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQR5NE2             MONI                       838.1568054         2.8889850        42.2237863         -.0049400         1.2982858        12.4672050        12.4174506          .1661587          .1095083
  MQR6NE2             MONI                       850.1971896        53.1897177        20.1806012        -4.1727284          .5324851        12.6789831        12.4851179          .2117781          .0676673
  MQR7NE2             MONI                       856.3497802        10.6099497        61.4331437          .4428616         6.7937294        12.7198828        12.5131168          .0408996          .0279989
  MQS2NE2             MONI                       860.7171688         8.8919925        16.7312619         -.0495002         3.4415123        12.7941065        12.5348652          .0742238          .0217484
  MQS3NE2             MONI                       869.9878691         7.2829308         8.3744012          .2142641        -1.6585449        13.0773438        12.7179904          .2832372          .1831252
  MQSBNE2             MONI                       872.5375264         7.1239106        19.7434347         -.1518948        -2.8004989        13.1349284        12.7497592          .0575847          .0317689
  MQS4NE2             MONI                       876.5709640        29.1247197         9.9772910        -2.7059328          .7794129        13.1842615        12.7917787          .0493331          .0420194
  MQEAE13             MONI                       881.1975280        48.5050151         7.6858431         5.6463304        -1.2526734        13.2020923        12.8899378          .0178308          .0981591
  MQD5E13             MONI                       886.9489271         7.6607158        26.9249766          .5245025         2.0631561        13.2551151        12.9489938          .0530228          .0590561
  MQF6E7              MONI                       894.2607275         8.8850272         7.1496356         -.6920158          .6371258        13.4283400        13.0373014          .1732249          .0883075
  MQD5E14             MONI                       902.4725278         7.6607158        26.9249766         -.5245025        -2.0631561        13.6172047        13.1463419          .1888647          .1090406
  MQEAE14             MONI                       908.2239269        48.5050151         7.6858431        -5.6463304         1.2526734        13.6702275        13.2053980          .0530228          .0590561
  MQF4E11             MONI                       912.8444909        29.1572012         9.9679438         2.7076473         -.7784462        13.6880255        13.3034613          .0177980          .0980633
  MQD3E11             MONI                       917.6562721         7.4403317        20.9498176          .2028379         1.7084092        13.7448111        13.3535857          .0567857          .0501243
  MQF2E13             MONI                       928.1061765        15.5592217         6.6593999         1.9371573        -1.4349155        13.9202394        13.5569703          .1754283          .2033846
  MQD1E7              MONI                       933.2459304         5.3422016        23.8161932         -.7948461         3.1527643        14.0329467        13.6136443          .1127072          .0566740
  MQF2E14             MONI                       936.9856843        15.5592217         6.6593999        -1.9371573         1.4349155        14.1002161        13.6616297          .0672694          .0479854
  MQD3E12             MONI                       947.4355886         7.4403317        20.9498176         -.2028379        -1.7084092        14.2756444        13.8650143          .1754283          .2033846
  MQF4E12             MONI                       952.2473698        29.1572012         9.9679438        -2.7076473          .7784462        14.3324301        13.9151387          .0567857          .0501243
  MQEAE15             MONI                       956.8679338        48.5050151         7.6858431         5.6463304        -1.2526734        14.3502281        14.0132020          .0177980          .0980633
  MQD5E15             MONI                       962.6193329         7.6607158        26.9249766          .5245025         2.0631561        14.4032509        14.0722581          .0530228          .0590561
  MQF6E8              MONI                       969.9311333         8.8850272         7.1496356         -.6920158          .6371258        14.5764758        14.1605656          .1732249          .0883075
  MQD5E16             MONI                       978.1429336         7.6607158        26.9249766         -.5245025        -2.0631561        14.7653405        14.2696062          .1888647          .1090406
  MQEAE16             MONI                       983.8943327        48.5050151         7.6858431        -5.6463304         1.2526734        14.8183633        14.3286622          .0530228          .0590561
  MQF4E13             MONI                       988.5148967        29.1572012         9.9679438         2.7076473         -.7784462        14.8361613        14.4267256          .0177980          .0980633
  MQD3E13             MONI                       993.3266779         7.4403317        20.9498176          .2028379         1.7084092        14.8929469        14.4768499          .0567857          .0501243
  MQF2E15             MONI                      1003.7765823        15.5592217         6.6593999         1.9371573        -1.4349155        15.0683752        14.6802345          .1754283          .2033846
  MQD1E8              MONI                      1008.9163362         5.3422016        23.8161932         -.7948461         3.1527643        15.1810825        14.7369085          .1127072          .0566740
  MQF2E16             MONI                      1012.6560901        15.5592217         6.6593999        -1.9371573         1.4349155        15.2483519        14.7848940          .0672694          .0479854
  MQD3E14             MONI                      1023.1059944         7.4403317        20.9498176         -.2028379        -1.7084092        15.4237802        14.9882786          .1754283          .2033846
  MQF4E14             MONI                      1027.9177756        29.1572012         9.9679438        -2.7076473          .7784462        15.4805659        15.0384029          .0567857          .0501243
  MQEAE17             MONI                      1032.5383396        48.5050151         7.6858431         5.6463304        -1.2526734        15.4983639        15.1364662          .0177980          .0980633
  MQD5E17             MONI                      1038.2897387         7.6607158        26.9249766          .5245025         2.0631561        15.5513867        15.1955223          .0530228          .0590561
  MQF6E9              MONI                      1045.6015391         8.8850272         7.1496356         -.6920158          .6371258        15.7246116        15.2838298          .1732249          .0883075
  MQD5E18             MONI                      1053.8133394         7.6607158        26.9249766         -.5245025        -2.0631561        15.9134763        15.3928704          .1888647          .1090406
  MQEAE18             MONI                      1059.5647385        48.5050151         7.6858431        -5.6463304         1.2526734        15.9664991        15.4519265          .0530228          .0590561
  MQF4E15             MONI                      1064.1853025        29.1572012         9.9679438         2.7076473         -.7784462        15.9842971        15.5499898          .0177980          .0980633
  MQD3E15             MONI                      1068.9970837         7.4403317        20.9498176          .2028379         1.7084092        16.0410827        15.6001142          .0567857          .0501243
  MQF2E17             MONI                      1079.4469881        15.5592217         6.6593999         1.9371573        -1.4349155        16.2165110        15.8034988          .1754283          .2033846
  MQD1E9              MONI                      1084.5867420         5.3422016        23.8161932         -.7948461         3.1527643        16.3292182        15.8601728          .1127072          .0566740
  MQF2E18             MONI                      1088.3264959        15.5592217         6.6593999        -1.9371573         1.4349155        16.3964877        15.9081582          .0672694          .0479854
  MQT1NFE1            MONI                      1098.7764002         7.4403317        20.9498176         -.2028379        -1.7084092        16.5719160        16.1115428          .1754283          .2033846
  MQT2NFE1            MONI                      1103.9841474        20.0134444        27.6411806        -4.0852939         3.0319945        16.6503183        16.1426626          .0784023          .0311198
  MQTANFE1            MONI                      1107.5016074        45.9537751        14.5078121         4.4063204        -1.2253565        16.6668263        16.1739407          .0165080          .0312781
  MQT3NFE1            MONI                      1112.3744192        15.6516231        26.8599377          .6223595         1.0376253        16.6975853        16.2113723          .0307590          .0374316
  MQT4NFE1            MONI                      1120.5342894        11.3961005        15.0077135         -.1006456          .4136879        16.8021511        16.2779486          .1045658          .0665763
  MQTBNFE1            MONI                      1124.5525258        17.7631299         9.1293805        -1.1279693          .5474632        16.8487989        16.3323934          .0466478          .0544448
  MQT5NFE             MONI                      1128.5707622        10.2726343        16.6855495          .9752401        -1.5395822        16.8932217        16.3893434          .0444228          .0569500
  MQTBNFE2            MONI                      1133.7889986        17.7631299         9.1293805         1.1279693         -.5474632        16.9571498        16.4572285          .0639281          .0678851
  MQT4NFE2            MONI                      1137.8072350        11.3961005        15.0077135          .1006456         -.4136879        17.0037976        16.5116733          .0466478          .0544448
  MQT3NFE2            MONI                      1145.9671053        15.6516231        26.8599377         -.6223595        -1.0376253        17.1083634        16.5782496          .1045658          .0665763
  MQTANFE2            MONI                      1150.8399170        45.9537751        14.5078121        -4.4063204         1.2253565        17.1391224        16.6156812          .0307590          .0374316
  MQT2NFE2            MONI                      1154.3573770        20.0134444        27.6411806         4.0852939        -3.0319945        17.1556304        16.6469593          .0165080          .0312781
  MQT1NFE2            MONI                      1159.5651242         7.4403317        20.9498176          .2028379         1.7084092        17.2340327        16.6780791          .0784023          .0311198
  MQF2E19             MONI                      1170.0150286        15.5592217         6.6593999         1.9371573        -1.4349155        17.4094610        16.8814637          .1754283          .2033846
  MQD1E10             MONI                      1175.1547825         5.3422016        23.8161932         -.7948461         3.1527643        17.5221682        16.9381377          .1127072          .0566740
  MQF2E20             MONI                      1178.8945364        15.5592217         6.6593999        -1.9371573         1.4349155        17.5894377        16.9861232          .0672694          .0479854
  MQD3E16             MONI                      1189.3444407         7.4403317        20.9498176         -.2028379        -1.7084092        17.7648660        17.1895078          .1754283          .2033846
  MQF4E16             MONI                      1194.1562219        29.1572012         9.9679438        -2.7076473          .7784462        17.8216516        17.2396321          .0567857          .0501243
  MQEAE19             MONI                      1198.7767859        48.5050151         7.6858431         5.6463304        -1.2526734        17.8394496        17.3376954          .0177980          .0980633
  MQD5E19             MONI                      1204.5281850         7.6607158        26.9249766          .5245025         2.0631561        17.8924724        17.3967515          .0530228          .0590561
  MQF6E10             MONI                      1211.8399854         8.8850272         7.1496356         -.6920158          .6371258        18.0656973        17.4850590          .1732249          .0883075
  MQD5E20             MONI                      1220.0517857         7.6607158        26.9249766         -.5245025        -2.0631561        18.2545620        17.5940996          .1888647          .1090406
  MQEAE20             MONI                      1225.8031848        48.5050151         7.6858431        -5.6463304         1.2526734        18.3075848        17.6531557          .0530228          .0590561
  MQF4E17             MONI                      1230.4237488        29.1572012         9.9679438         2.7076473         -.7784462        18.3253828        17.7512190          .0177980          .0980633
  MQD3E17             MONI                      1235.2355300         7.4403317        20.9498176          .2028379         1.7084092        18.3821685        17.8013434          .0567857          .0501243
  MQF2E21             MONI                      1245.6854343        15.5592217         6.6593999         1.9371573        -1.4349155        18.5575968        18.0047280          .1754283          .2033846
  MQD1E11             MONI                      1250.8251883         5.3422016        23.8161932         -.7948461         3.1527643        18.6703040        18.0614020          .1127072          .0566740
  MQF2E22             MONI                      1254.5649422        15.5592217         6.6593999        -1.9371573         1.4349155        18.7375735        18.1093874          .0672694          .0479854
  MQD3E18             MONI                      1265.0148465         7.4403317        20.9498176         -.2028379        -1.7084092        18.9130018        18.3127720          .1754283          .2033846
  MQF4E18             MONI                      1269.8266277        29.1572012         9.9679438        -2.7076473          .7784462        18.9697874        18.3628964          .0567857          .0501243
